Time,Degree,Velocity
3901.74,-30.00,-144.00
3906.85,-30.48,-96.00
3911.95,-30.96,-96.00
3917.06,-31.44,-96.00
3922.16,-32.16,-144.00
3927.27,-32.88,-144.00
3932.37,-33.60,-144.00
3937.48,-34.32,-144.00
3942.58,-35.28,-192.00
3947.68,-36.00,-144.00
3952.79,-36.96,-192.00
3957.92,-37.92,-192.00
3963.02,-38.64,-144.00
3968.13,-39.60,-192.00
3973.27,-40.32,-144.00
3978.40,-41.28,-192.00
3983.53,-42.00,-144.00
3988.67,-42.72,-144.00
3993.80,-43.44,-144.00
3998.93,-43.92,-96.00
4004.06,-44.40,-96.00
4009.25,-45.12,-144.00
4014.43,-45.84,-144.00
4019.58,-46.32,-96.00
4024.72,-46.80,-96.00
4029.86,-47.28,-96.00
4035.00,-47.76,-96.00
4040.14,-48.24,-96.00
4045.28,-48.72,-96.00
4050.42,-49.20,-96.00
4055.56,-49.44,-48.00
4060.69,-49.92,-96.00
4065.83,-50.16,-48.00
4070.96,-50.40,-48.00
4076.11,-50.64,-48.00
4081.24,-50.88,-48.00
4086.36,-51.12,-48.00
4091.48,-51.36,-48.00
4096.61,-51.36,-0.00
4101.73,-51.60,-48.00
4106.85,-51.60,-0.00
4111.97,-51.84,-48.00
4117.10,-51.84,-0.00
4122.23,-52.08,-48.00
4127.35,-52.08,-0.00
4132.47,-52.08,-0.00
4137.60,-52.08,-0.00
4142.72,-52.08,-0.00
4147.85,-51.84,48.00
4152.97,-51.84,0.00
4158.09,-51.84,0.00
4163.22,-51.60,48.00
4168.34,-51.60,0.00
4173.47,-51.36,48.00
4178.60,-51.12,48.00
4183.72,-50.88,48.00
4188.84,-50.64,48.00
4193.96,-50.40,48.00
4199.08,-49.92,96.00
4204.21,-49.68,48.00
4209.33,-49.44,48.00
4214.45,-48.96,96.00
4219.58,-48.48,96.00
4224.70,-48.24,48.00
4229.82,-47.76,96.00
4234.95,-47.28,96.00
4240.07,-46.80,96.00
4245.20,-46.32,96.00
4250.32,-45.84,96.00
4255.45,-45.36,96.00
4260.57,-44.88,96.00
4265.70,-44.40,96.00
4270.82,-43.68,144.00
4275.94,-43.20,96.00
4281.06,-42.48,144.00
4286.19,-42.00,96.00
4291.31,-41.28,144.00
4296.43,-40.56,144.00
4301.55,-39.84,144.00
4306.67,-39.12,144.00
